Region,Employed,Unemployed,Age,Education,LocationOfWork,Industry
1,1,0,54,60911,5532,86
1,1,0,48,24015,5522,45
1,1,0,54,24015,5522,45
1,1,0,18,34011,5532,13
1,1,0,27,10018,5532,43
1,1,0,24,60413,5532,47
1,1,0,63,10018,5532,13
1,1,0,55,24015,5532,96
1,1,0,55,10018,5532,47
1,1,0,44,10018,5532,13
1,1,0,20,35013,5532,47
1,1,0,24,24013,5532,1
1,1,0,26,24015,5532,47
1,1,0,26,60612,5532,47
1,1,0,19,35013,5532,13
1,1,0,21,10018,5532,1
1,1,0,56,24015,5532,13
1,1,0,44,40713,5538,16
1,1,0,47,24015,5518,41
1,1,0,39,24013,5538,56
1,1,0,19,24015,5538,56
1,1,0,15,24013,5538,56
1,1,0,45,10014,5538,31
1,1,0,34,10018,5538,31
1,1,0,39,24015,5538,47
1,1,0,42,50613,5538,47
1,1,0,36,10018,5538,31
1,1,0,22,10018,5538,31
1,1,0,33,24015,5538,31
1,1,0,29,24015,5538,47
1,1,0,23,35013,5538,11
1,1,0,39,24015,5538,31
1,1,0,27,24015,5538,31
1,1,0,43,24011,5538,11
1,1,0,22,60001,5538,84
1,1,0,46,10018,5538,84
1,1,0,46,10018,5538,96
1,1,0,43,24012,5538,31
1,1,0,34,24012,5538,47
1,1,0,30,10018,5538,47
1,1,0,33,24015,5538,1
1,1,0,28,60002,5538,47
1,1,0,73,10012,5538,1
1,1,0,53,10012,5538,31
1,1,0,52,10018,5538,14
1,0,1,32,24012,0,0
1,0,1,74,10015,0,0
1,0,1,70,10015,0,0
1,1,0,36,10018,5538,46
1,1,0,41,10018,5538,1
1,1,0,31,60111,5538,85
1,1,0,23,24015,5538,31
1,1,0,23,34013,5538,31
1,1,0,30,24015,5538,47
1,1,0,72,24015,5546,1
1,1,0,65,60713,5546,84
1,0,1,65,24015,0,0
1,1,0,29,60411,1102,61
1,1,0,47,24015,5546,41
1,1,0,47,24015,5546,84
1,1,0,27,24015,5546,43
1,0,1,20,35013,0,0
1,1,0,22,24015,5546,41
1,1,0,74,10012,5546,47
1,1,0,54,10014,5546,1
1,1,0,48,24015,5546,1
1,0,1,44,60321,0,0
1,1,0,45,60001,5546,84
1,0,1,52,24015,0,0
1,1,0,18,10013,5546,1
1,1,0,47,40716,5546,46
1,1,0,47,24015,5546,96
1,1,0,23,35013,5546,45
1,1,0,42,24015,1102,93
1,0,1,44,24015,0,0
1,1,0,18,35011,5546,77
1,1,0,56,10018,5546,14
1,0,1,28,24013,0,0
1,1,0,26,24015,5531,14
1,1,0,50,24015,5546,84
1,1,0,26,60231,5546,84
1,1,0,26,60003,1110,47
1,1,0,32,24015,5546,56
1,1,0,25,24015,5546,56
1,1,0,25,24015,5546,46
1,1,0,23,35013,5546,47
2,1,0,57,24015,901,41
2,1,0,56,40415,901,84
2,1,0,73,10018,901,84
2,1,0,72,10018,901,84
2,1,0,46,60111,901,84
2,1,0,44,70188,901,85
2,1,0,30,60811,901,55
2,1,0,63,10018,901,1
2,1,0,53,0,901,1
2,1,0,56,10018,901,84
2,1,0,39,60002,901,41
2,1,0,68,10018,901,1
2,1,0,46,60111,901,56
2,1,0,39,50716,901,49
2,1,0,57,24015,901,84
2,1,0,52,60415,901,84
2,1,0,35,61013,901,47
2,1,0,48,10013,901,84
2,1,0,54,40415,901,84
2,1,0,20,34011,901,84
2,1,0,35,61013,901,96
2,1,0,48,40415,901,41
2,1,0,63,61041,901,1
2,1,0,44,40415,901,46
2,1,0,37,60002,901,84
2,1,0,18,34013,901,84
2,1,0,26,24015,901,96
2,1,0,52,24015,901,96
2,1,0,30,24015,901,41
2,1,0,57,40415,903,42
2,1,0,50,10015,901,84
2,1,0,49,50731,901,84
2,1,0,66,10018,901,84
2,1,0,59,24015,901,1
2,1,0,63,60413,901,47
2,0,1,24,34011,0,0
2,1,0,58,24015,901,1
2,1,0,58,50723,901,84
2,1,0,24,60732,901,84
2,1,0,51,10015,901,55
2,1,0,44,10015,901,96
2,1,0,41,24015,901,55
2,1,0,69,60716,901,50
2,1,0,37,60732,901,31
2,1,0,38,60111,903,85
2,1,0,58,10018,901,1
2,1,0,53,24012,901,1
2,1,0,19,34033,904,42
2,1,0,41,61041,901,1
2,1,0,42,60613,901,47
2,1,0,44,60002,901,80
2,1,0,43,60002,901,55
2,1,0,43,71032,901,47
2,1,0,40,70421,901,84
2,1,0,58,24015,904,1
2,1,0,53,24015,904,1
2,1,0,48,24013,904,41
2,1,0,56,24015,904,84
2,1,0,20,60002,904,84
2,1,0,58,24015,904,85
2,1,0,51,60111,904,85
2,0,1,29,24015,0,0
2,1,0,34,60412,904,84
2,1,0,39,60612,901,96
2,1,0,40,60488,904,84
2,1,0,32,60711,904,84
2,1,0,41,60612,901,84
2,1,0,38,60111,904,96
2,1,0,48,24015,904,84
2,1,0,36,24015,901,84
2,1,0,42,60111,904,84
2,1,0,36,60111,904,84
2,1,0,79,24013,904,84
2,1,0,51,40722,901,41
2,1,0,53,24015,901,84
2,1,0,54,24015,904,47
2,1,0,26,60003,904,47
2,1,0,23,61015,901,56
2,1,0,63,10018,904,84
2,1,0,60,24015,904,84
2,1,0,37,40716,904,84
2,1,0,42,50611,904,84
2,1,0,38,60002,901,49
2,1,0,37,60002,904,47
2,1,0,43,24015,901,84
2,1,0,24,34013,1510,56
2,1,0,65,60002,1510,1
2,1,0,44,60002,1510,1
2,1,0,69,60003,1510,41
2,1,0,51,24015,1510,47
2,1,0,37,60001,1510,56
2,1,0,49,60002,1529,80
2,1,0,50,24015,1510,47
2,1,0,34,24015,1510,41
2,1,0,45,24015,1510,46
2,1,0,32,24013,1510,96
2,1,0,48,60819,1510,47
2,1,0,25,60003,1510,47
2,1,0,22,34013,1510,41
2,1,0,58,10013,1510,1
2,1,0,55,10018,1510,1
2,1,0,30,24015,1510,41
2,1,0,39,24015,1510,41
2,1,0,35,24015,1510,41
